iter	MultiClass
0	1.683847864
1	1.600870393
2	1.524772073
3	1.464045725
4	1.406457816
5	1.357789332
6	1.31467763
7	1.275270687
8	1.239562702
9	1.208360617
10	1.180594257
11	1.153460005
12	1.130892716
13	1.107848162
14	1.087223663
15	1.070106471
16	1.054657716
17	1.039219057
18	1.022694855
19	1.010158208
20	0.9980257415
21	0.9869019634
22	0.9778718554
23	0.9671972728
24	0.9577503755
25	0.9500086505
26	0.9426850069
27	0.9346248751
28	0.9275080475
29	0.9194475516
30	0.9133415493
31	0.9066898176
32	0.8997570588
33	0.8943730825
34	0.8881757148
35	0.8836021679
36	0.8778286745
37	0.8727006854
38	0.8674471232
39	0.8613605832
40	0.8565527086
41	0.8530832844
42	0.8488868735
43	0.8451290657
44	0.8414316029
45	0.8378886788
46	0.8335817036
47	0.8300313557
48	0.8269860904
49	0.8226553969
50	0.8195322405
51	0.8154679487
52	0.8110672133
53	0.8085520652
54	0.805445155
55	0.8018619627
56	0.7994448211
57	0.7972711211
58	0.7952378884
59	0.793279704
60	0.7905239307
61	0.7883156875
62	0.7863363866
63	0.783369469
64	0.7802902385
65	0.77746406
66	0.7737503954
67	0.7726246313
68	0.7689565923
69	0.7676382831
70	0.7659390677
71	0.7631184805
72	0.7616070987
73	0.7587959439
74	0.7566622458
75	0.7536011634
76	0.7501930946
77	0.7473112891
78	0.7455464021
79	0.7425989168
80	0.74079155
81	0.739145378
82	0.7367680631
83	0.7335812453
84	0.7302397194
85	0.7266940229
86	0.7252507023
87	0.7229855486
88	0.7206784334
89	0.7191838874
90	0.7170321948
91	0.7159657498
92	0.7133893279
93	0.7109708371
94	0.7088653865
95	0.7070964379
96	0.7042115009
97	0.7034110301
98	0.7012929464
99	0.6989084092
100	0.697066578
101	0.6955825983
102	0.6932712996
103	0.6914599546
104	0.6902690485
105	0.6879996969
106	0.6855369757
107	0.6836714895
108	0.6825881405
109	0.6806055634
110	0.6773121099
111	0.6748460216
112	0.6725746916
113	0.6703979861
114	0.6673402926
115	0.6648162013
116	0.6624526231
117	0.6600132735
118	0.6594102445
119	0.6571964247
120	0.6551714911
121	0.6530784255
122	0.6514000541
123	0.6490892206
124	0.6475139156
125	0.6456174507
126	0.6439124042
127	0.642187042
128	0.6403924961
129	0.6382255117
130	0.6350392792
131	0.633713428
132	0.6331664827
133	0.6323287524
134	0.6304355748
135	0.6292918253
136	0.6273445773
137	0.62577961
138	0.6239694512
139	0.6230577239
140	0.6211687824
141	0.6168187962
142	0.6155640849
143	0.6142938635
144	0.6122015649
145	0.6096699823
146	0.6078941991
147	0.606229025
148	0.6043859271
149	0.6020627418
150	0.6001102122
151	0.5989453007
152	0.5966146509
153	0.5953923503
154	0.5944167569
155	0.5927816513
156	0.5912882489
157	0.590046618
158	0.5888122486
159	0.588508743
160	0.5859678703
161	0.5846074828
162	0.5820572838
163	0.579951265
164	0.5784786707
165	0.576363379
166	0.5751893332
167	0.5732708783
168	0.5716260317
169	0.5701640024
170	0.5684664135
171	0.5672089236
172	0.5655618656
173	0.5642828609
174	0.5627677732
175	0.5618310681
176	0.5598703552
177	0.5578446412
178	0.5564240632
179	0.5539318473
180	0.5523254542
181	0.549673699
182	0.5484834841
183	0.547602941
184	0.5463805205
185	0.5438394289
186	0.5425242754
187	0.5401307628
188	0.5387111823
189	0.5370149196
190	0.5363473965
191	0.5345731394
192	0.5337019863
193	0.5325458934
194	0.5306718803
195	0.5288495999
196	0.5271053818
197	0.524974615
198	0.5231843142
199	0.5223388804
200	0.5203052826
201	0.5187473674
202	0.5177551736
203	0.5156956357
204	0.5143828762
205	0.5124147298
206	0.5105993993
207	0.5096255994
208	0.508806335
209	0.5078415548
210	0.5061030134
211	0.5047427541
212	0.5031784725
213	0.5021750516
214	0.5005272355
215	0.499835542
216	0.4991275544
217	0.4977271836
218	0.4971727855
219	0.4951362805
220	0.4936441768
221	0.4926544923
222	0.4910506418
223	0.4896278908
224	0.488556586
225	0.4871303644
226	0.4864546391
227	0.4854695285
228	0.4841276282
229	0.4822010935
230	0.4809245383
231	0.4797693669
232	0.4783535339
233	0.4770306635
234	0.4761460632
235	0.4747871301
236	0.4736464235
237	0.4730467537
238	0.4722294082
239	0.47028403
240	0.4691418102
241	0.4683221057
242	0.4668970777
243	0.4655871764
244	0.465449448
245	0.4644947757
246	0.4630129929
247	0.4614876525
248	0.4601552415
249	0.4591074168
250	0.4576414069
251	0.4568911524
252	0.4555574234
253	0.4547094702
254	0.4531374657
255	0.451423462
256	0.4503631969
257	0.4494610465
258	0.4480040282
259	0.4472057164
260	0.4460958776
261	0.4452177191
262	0.4445891121
263	0.4434218402
264	0.4421699615
265	0.4411024087
266	0.4397804197
267	0.4384932088
268	0.4377681076
269	0.4368561947
270	0.4359257441
271	0.434565995
272	0.4340359742
273	0.4324155176
274	0.4309531604
275	0.4299428462
276	0.4294003446
277	0.428262231
278	0.4272101476
279	0.4263280372
280	0.4248495556
281	0.4238002503
282	0.4229467737
283	0.4218127047
284	0.4212109469
285	0.4202673261
286	0.4192347584
287	0.4178009102
288	0.416533946
289	0.4151187226
290	0.4145575109
291	0.4135362047
292	0.4122661723
293	0.4118623479
294	0.4109492642
295	0.4096617454
296	0.4086134461
297	0.4076468818
298	0.4072144238
299	0.4062127457
300	0.4050227055
301	0.4032857421
302	0.4017041209
303	0.4010617747
304	0.4001297687
305	0.3991057675
306	0.3980689785
307	0.3974334196
308	0.3966499784
309	0.3956878266
310	0.3947031203
311	0.3936654022
312	0.3925502929
313	0.3915212435
314	0.3909220916
315	0.3895503661
316	0.3881958267
317	0.3877459882
318	0.3863116807
319	0.3854841467
320	0.3848599134
321	0.3840302988
322	0.3830162932
323	0.3823217886
324	0.3810909021
325	0.3803912611
326	0.3796569372
327	0.3782834532
328	0.3777907572
329	0.3772091676
330	0.3757704643
331	0.3747041609
332	0.373516065
333	0.3725653021
334	0.3720874039
335	0.3706721123
336	0.3698133382
337	0.3691846585
338	0.368014575
339	0.3671666639
340	0.366657695
341	0.3657074063
342	0.3650079069
343	0.3641485668
344	0.3635039357
345	0.3630218021
346	0.3624331286
347	0.3616274072
348	0.3610773586
349	0.3604393604
350	0.359669855
351	0.3581992521
352	0.3576087889
353	0.3563594497
354	0.355805716
355	0.3546707579
356	0.3539950445
357	0.3537370117
358	0.3532694053
359	0.3523278494
360	0.3516383104
361	0.3504366823
362	0.3495910791
363	0.3481133305
364	0.34735839
365	0.3463032075
366	0.3455662044
367	0.3442772447
368	0.3438502486
369	0.3427627009
370	0.3419993985
371	0.3412991722
372	0.3399357477
373	0.3390428923
374	0.3381559328
375	0.3373750622
376	0.3365004372
377	0.3359360701
378	0.3346776277
379	0.3340520575
380	0.3333719861
381	0.3325370292
382	0.3318291751
383	0.3309066524
