iter	Passed	Remaining
0	9	9423
1	15	7526
2	18	6201
3	21	5435
4	25	5011
5	28	4754
6	31	4492
7	34	4290
8	37	4147
9	40	4018
10	43	3905
11	46	3795
12	48	3699
13	51	3617
14	53	3529
15	56	3448
16	58	3373
17	60	3304
18	62	3234
19	64	3172
20	66	3106
21	68	3051
22	70	3004
23	72	2948
24	74	2899
25	76	2853
26	77	2803
27	79	2760
28	81	2722
29	82	2682
30	84	2649
31	86	2615
32	87	2574
33	89	2545
34	91	2518
35	93	2492
36	94	2465
37	96	2442
38	98	2417
39	99	2396
40	101	2376
41	103	2356
42	104	2335
43	106	2319
44	108	2298
45	109	2280
46	111	2263
47	113	2248
48	115	2232
49	116	2216
50	118	2198
51	119	2185
52	121	2171
53	123	2158
54	124	2145
55	126	2134
56	128	2120
57	130	2112
58	131	2101
59	133	2090
60	135	2081
61	136	2071
62	138	2063
63	140	2053
64	141	2042
65	143	2032
66	145	2023
67	146	2013
68	148	2007
69	150	1998
70	152	1994
71	153	1984
72	155	1975
73	157	1969
74	159	1962
75	160	1956
76	162	1949
77	164	1942
78	166	1936
79	167	1930
80	169	1923
81	171	1917
82	173	1914
83	175	1908
84	176	1900
85	178	1895
86	180	1889
87	181	1883
88	183	1877
89	184	1869
90	186	1863
91	188	1857
92	189	1851
93	191	1846
94	193	1846
95	195	1842
96	197	1839
97	199	1835
98	201	1831
99	203	1827
100	204	1824
101	206	1821
102	209	1821
103	211	1822
104	213	1817
105	214	1812
106	216	1807
107	218	1801
108	219	1797
109	221	1791
110	223	1787
111	224	1781
112	226	1776
113	227	1771
114	229	1767
115	231	1763
116	233	1760
117	234	1756
118	236	1750
119	238	1747
120	239	1742
121	241	1740
122	243	1735
123	245	1733
124	246	1728
125	248	1725
126	250	1721
127	252	1717
128	254	1715
129	255	1712
130	257	1708
131	259	1705
132	260	1700
133	262	1697
134	264	1694
135	266	1690
136	267	1687
137	269	1683
138	271	1680
139	273	1677
140	274	1674
141	276	1671
142	278	1666
143	279	1662
144	281	1659
145	283	1657
146	284	1653
147	286	1649
148	288	1646
149	290	1644
150	291	1640
151	293	1636
152	295	1634
153	296	1630
154	298	1626
155	299	1623
156	301	1620
157	303	1617
158	305	1613
159	306	1610
160	308	1607
161	310	1604
162	311	1601
163	313	1598
164	315	1594
165	316	1591
166	318	1588
167	320	1584
168	321	1582
169	323	1579
170	325	1577
171	327	1574
172	328	1570
173	330	1568
174	332	1565
175	333	1562
176	335	1560
177	337	1557
178	339	1554
179	340	1552
180	342	1549
181	344	1547
182	346	1544
183	348	1543
184	349	1540
185	351	1537
186	353	1534
187	354	1532
188	356	1529
189	358	1526
190	359	1523
191	361	1521
192	363	1518
193	364	1515
194	366	1513
195	368	1510
196	369	1508
197	371	1505
198	373	1502
199	375	1500
200	376	1498
201	378	1495
202	380	1493
203	382	1491
204	383	1488
205	385	1485
206	387	1482
207	388	1480
208	390	1478
209	392	1476
210	393	1473
211	395	1470
212	397	1468
213	399	1465
214	401	1464
215	403	1462
216	404	1460
217	406	1459
218	409	1458
219	410	1456
220	412	1454
221	414	1452
222	416	1450
223	417	1447
224	419	1445
225	421	1443
226	423	1441
227	424	1438
228	426	1436
229	428	1434
230	430	1432
231	432	1430
232	433	1427
233	435	1425
234	436	1422
235	438	1419
236	440	1417
237	442	1415
238	443	1413
239	445	1411
240	447	1409
241	449	1407
242	451	1406
243	453	1403
244	453	1398
245	455	1395
246	457	1393
247	458	1391
248	460	1389
249	462	1386
250	464	1384
251	465	1382
252	467	1380
253	469	1378
254	471	1376
255	472	1373
256	474	1371
257	476	1369
258	477	1367
259	479	1365
260	481	1362
261	483	1360
262	484	1358
263	486	1356
264	488	1354
265	490	1352
266	491	1350
267	493	1348
268	495	1346
269	497	1344
270	498	1342
271	500	1339
272	502	1337
273	503	1335
274	505	1333
275	507	1330
276	508	1328
277	510	1326
278	512	1323
279	513	1321
280	515	1319
281	517	1317
282	519	1315
283	520	1313
284	522	1311
285	524	1309
286	526	1307
287	528	1305
288	529	1303
289	531	1301
290	533	1298
291	534	1296
292	536	1295
293	538	1292
294	539	1290
295	541	1287
296	543	1285
297	544	1283
298	546	1281
299	548	1280
300	550	1278
301	552	1276
302	553	1273
303	555	1272
304	557	1270
305	559	1268
306	561	1266
307	562	1264
308	564	1262
309	566	1260
310	567	1258
311	569	1256
312	571	1254
313	573	1252
314	574	1250
315	576	1248
316	578	1246
317	580	1243
318	581	1241
319	583	1240
320	585	1238
321	587	1237
322	589	1235
323	591	1233
324	592	1231
325	594	1229
326	596	1227
327	598	1225
328	600	1223
329	601	1222
330	604	1221
331	606	1220
332	608	1217
333	609	1216
334	611	1214
335	613	1212
336	615	1210
337	616	1208
338	618	1206
339	621	1205
340	622	1203
341	624	1202
342	626	1200
343	628	1197
344	629	1195
345	631	1193
346	633	1191
347	635	1189
348	636	1187
349	638	1186
350	640	1183
351	642	1182
352	643	1180
353	645	1178
354	647	1176
355	649	1174
356	650	1172
357	652	1170
358	654	1168
359	656	1166
360	657	1164
361	659	1162
362	661	1160
363	663	1158
364	664	1156
365	666	1154
366	668	1152
367	670	1151
368	671	1149
369	673	1146
370	675	1144
371	676	1142
372	678	1140
373	680	1139
374	682	1137
375	683	1135
376	685	1133
377	687	1131
378	689	1129
379	690	1126
380	692	1124
381	694	1122
382	695	1121
383	697	1119
384	699	1117
385	701	1115
386	703	1113
387	704	1111
388	706	1109
389	708	1107
390	710	1105
391	711	1103
392	713	1101
393	714	1099
394	716	1097
395	718	1095
396	720	1094
397	721	1092
398	723	1090
399	725	1088
400	727	1086
401	728	1084
402	730	1082
403	732	1080
404	734	1078
405	735	1076
406	737	1074
407	739	1072
408	741	1070
409	742	1069
410	744	1067
411	746	1065
412	748	1063
413	750	1061
414	751	1059
415	753	1058
416	755	1055
417	756	1053
418	758	1052
419	760	1050
420	762	1048
421	764	1046
422	765	1044
423	767	1042
424	769	1040
425	770	1038
426	772	1036
427	774	1035
428	776	1033
429	778	1031
430	779	1029
431	781	1027
432	783	1025
433	785	1024
434	786	1022
435	788	1020
436	790	1018
437	792	1016
438	793	1014
439	795	1012
440	797	1010
441	799	1009
442	801	1007
443	803	1006
444	805	1004
445	807	1002
446	808	1000
447	810	998
448	812	997
449	814	995
450	816	993
451	817	991
452	819	989
453	820	987
454	822	985
455	824	983
456	825	981
457	827	979
458	829	977
459	831	975
460	833	974
461	834	972
462	836	970
463	838	968
464	840	966
465	841	964
466	843	962
467	845	960
468	846	958
469	848	957
470	850	955
471	852	953
472	854	951
473	855	949
474	857	947
475	859	946
476	861	944
477	862	942
478	864	940
479	866	938
480	868	937
481	870	935
482	871	933
483	873	931
484	875	929
485	877	927
486	878	925
487	880	923
488	882	921
489	883	919
490	885	918
491	887	916
492	889	914
493	890	912
494	892	910
495	894	908
496	895	906
497	897	904
498	899	902
499	900	900
500	902	898
501	904	897
502	906	895
503	908	893
504	909	891
505	911	889
506	913	888
507	914	886
508	916	884
509	918	882
510	920	880
511	921	878
512	923	876
513	925	874
514	927	873
515	928	871
516	930	869
517	932	867
518	933	865
519	935	863
520	937	861
521	938	859
522	940	857
523	942	855
524	943	854
525	945	852
526	947	850
527	948	848
528	950	846
529	952	844
530	954	842
531	955	840
532	957	838
533	959	837
534	960	835
535	962	833
536	964	831
537	966	829
538	968	828
539	969	826
540	971	824
541	973	822
542	974	820
543	976	818
544	978	816
545	980	815
546	981	813
547	983	811
548	985	809
549	986	807
550	988	805
551	990	803
552	992	802
553	993	800
554	995	798
555	997	796
556	999	794
557	1001	793
558	1003	791
559	1005	789
560	1006	787
561	1008	786
562	1010	784
563	1012	782
564	1013	780
565	1015	778
566	1017	776
567	1019	775
568	1020	773
569	1022	771
570	1024	769
571	1026	767
572	1027	765
573	1029	764
574	1031	762
575	1032	760
576	1034	758
577	1036	756
578	1037	754
579	1039	752
580	1041	751
581	1043	749
582	1044	747
583	1046	745
584	1047	743
585	1049	741
586	1051	739
587	1053	737
588	1054	736
589	1056	734
590	1058	732
591	1060	730
592	1061	728
593	1063	726
594	1065	725
595	1066	723
596	1068	721
597	1070	719
598	1071	717
599	1073	715
600	1075	713
601	1077	712
602	1078	710
603	1080	708
604	1082	706
605	1083	704
606	1085	702
607	1087	701
608	1089	699
609	1090	697
610	1092	695
611	1094	693
612	1096	691
